en,ko
The coffee is too strong. I think you need to water it down.,커피가 너무 진해. 조금 묽게 해야 할 것 같아.
I'm off the hook for staying after for clean up.,나 남아서 청소하는 거 모면했다.
The timely investigation could be prevented the major malfunction in computers. Someone truly said that a stitch in time saves nine.,적시에 조사하면 컴퓨터의 주요 오작동을 예방할 수 있습니다. 몇몇 사람들은 정말로 제때의 한 땀이 뒤의 아홉 바늘의 수고를 덜어준다고 말했습니다.
I need to complete four reports by tomorrow. I am swamped with work.,내일까지 4개의 보고서를 작성해야 해요. 일이 너무 많아서요.
He decided to make waves and speak out against the unfair policy.,그는 부당한 정책에 반대하는 목소리를 내기로 결심했습니다.
Don't be friends with bad boys. People think that birds of a feather flock together.,나쁜 남자들과는 친구가 되지 마세요. 사람들은 유유상종이라고 생각합니다.
The bonus he received must have burned a hole in his pocket. He ended up buying a car the next day.,그가 받은 보너스는 금방 소진 됐을 것이다. 그는 결국 다음날 차를 샀다.
The financial statements say that your business is making a lot of money. Are the amounts all kosher?,재무제표에 의하면 당신의 사업은 많은 돈을 벌고 있습니다. 그 금액은 모두 사실입니까?
The doctor told him he was fit as a fiddle. ,의사는 그에게 매우 건강하다고 말했다.
I just want to stay home and goof off.,저는 그냥 집에 있으면서 빈둥거리고 싶어요.
"Where ignorance is bliss, Tis folly to be wise.",무지가 지복인 곳에서 현명한 것은 어리석다.
"I really don't want to throw cold water on your business proposal, but I really don't think that it is a good idea.","당신의 사업 제안에 찬물을 끼얹고 싶지는 않지만, 좋은 아이디어 라고 생각하지 않습니다."
I cannot double-cross my best friend.,저는 가장 친한 친구를 배신 할 수 없습니다.
"Although I had nothing to do with the problem that he was having, I stuck my neck out to help him.","그의 문제와는 아무 상관이 없었지만, 나는 그를 돕기 위해 목숨을 내걸었습니다."
"You'll miss the boat if you don't buy shares now,","네가 지금 지분을 사지 않으면, 좋은 기회를 놓치게 될 거야."
"Richard, I am on thin ice as it is at Raviga.","리처드, 난 지금 라비가에서 살얼음판을 걷고 있어요."
Everyone in school told her how ugly and stupid she was. She was unable to take it and eventually changed schools.,학교에 있는 모든 사람들이 그녀에게 얼마나 못생기고 멍청한지 말했습니다. 그녀는 괴롭힘을 견딜 수 없었고 결국 전학을 갔습니다.
"Raw material cost has been raised a lot. To make matters worse, delivery time is going to be extended seriously.",원자재 가격이 많이 올랐습니다. 설상가상으로 납기일 또한 심각하게 지연될 것입니다.
"He was filled with emotion during his speech, but she didn’t bat an eyelash.","그는 연설하는 동안 감정이 북받쳤지만, 그녀는 감정을 드러내지 않았습니다."
He was right as rain after a few days in bed after getting injured.,그는 부상을 입은 후 며칠 동안 침대에 누운 후에 건강해졌음을 느꼈다. 
He always got under my skin.,그는 항상 내 기분을 상하게 했다.
Let's cross that bridge whenn we get to it.,그때 가서 생각하자.
Don’t ask me to put that clock back together. I’m all thumbs.,그 시계를 다시 맞추라고 하지 마세요. 저는 서툴러요.
Do you know why Jenny gave John the cold shoulder.,제니가 왜 존에게 쌀쌀맞게 대하는지 알아요?
Oh I see... I better follow the golden rule first. Do unto other as you would have them do unto you ,아 이제 알겠네. 내가 먼저 황금률을 따라야겠다. 남에게 대접받고자하는 대로 남을 대접하라
She cut her own fringes and ended up making her face look ridiculous. A little knowledge can be a dangerous thing when dealing with the intricate art of hair cutting.,그녀는 자신의 가장자리 머리카락을 자르고 결국 얼굴을 우스꽝스럽게 보이게 만들었습니다. 복잡한 머리 자르기 기술을 다룰 때 불완전한 지식은 곤혹스럽게 만드는 법이다. 
Take the present out of the closet when the coast is clear.,적이 보이지 않을 때는 옷장에서 선물을 꺼냅니다.
It takes approximately one year to be accepted into that school. We completed an application to start the ball rolling.,그 학교에 입학하기까지 대략 1년이 소요됩니다. 조치를 취하기 위해 지원서를 작성했습니다.
"There were tickets available last week, but he missed the boat by waitinng till today to try to buy some.","지난주에는 표가 있었지만, 그는 오늘이 되어서야 몇장 사려고 기다리는 바람에 기회를 놓쳤다."
I know he stole the material for the book; I've got his number.,그 사람이 죄인임을 알고 있어. 그의 정체를 파헤쳤어.
I have told her that she should stop smoking a thousand times. Don't even mention it to her; you'll be wasting your breath.,나는 그녀에게 흡연을 그만두라고 천 번 이야기했어. 그녀에게도 그것에 대해 언급하지 마; 그녀한테 기운을 낭비하게 될 거야.
I egged her on.,내가 그녀를 부추겼다.
"I have put it off for months, but I finally got around to cleaning the windows.","창문 청소를 여러 달 동안 미루고 있었지만, 나는 마침내 그 일에 착수했어."
I will beat around the bush no longer.,더 이상 둘러대지 않고 단도직입적으로 말할께.
The early bird gets the worm.,일찍 일어나는 새가 벌레를 잡는다. 부지런해야 성공한다.
Now that he has financial difficulties he will realize that a penny saved is as good as a penny earned.,그는 경제적으로 어렵기 때문에 아끼는 게 버는 거란 걸 깨닫게 될 거야. 
A penny for your thoughts?,무슨 일 있어요?
Taking the whole family on that cruise is certainly not going to be chickenfeed.,그 유람선에 온 가족을 태우는 것은 분명히 적은 돈이 될 것 같지는 않습니다.
"When $6000 dollars was missing from the company, I began to smell a rat and thought it may be internal theft.","회사에서 6,000달러가 빠져나간 걸 볼 때, 내부적인 도난일 수도 있을 것 같아 의심이 들었어요."
"We were in the middle of a business meeting when, from out of left field, he asked about the weather.","우리는 비즈니스 미팅 중이었는데, 갑자기 그가 날씨에 대해 물어봤습니다."
"No pain, no gain",고통이 없으면 얻는 것도 없다
I got wind of the fact that they will be closing down our department.,우리 부서가 폐쇄될 것이라는 이야기를 들은 거 같아요.
This is a little out of left field.,이거 조금 예상 밖인데.
There's a still 1 inning left in the game. It's not over till the fat lady sings.,아직 1인닝 남았거든. 끝날때까지 끝난게 아니야.
"I think this is all a storm in a teacup, and there is nothing to worry about.","난 이 모든 일이 쓸데 없는 일이라고 생각해, 그러니까 걱정할 것 없어."
Cut somebody some slack,조금 너그럽게 봐주다.
you almost missed me by skin of your teeth.,조금만 늦었더라면 못 만날 뻔 했어요. 간신히 만났네요.
She really let the cat out of the bag. ,그녀는 정말 무심코 비밀을 누설했단다.
Just cur her a little slack.,그러니 좀 봐줘요.
"She thought it was just something minor and did not go to a doctor. But you know what? When it rains, it pours. She should have got it checked much earlier.","그녀는 그것이 단지 사소한 것이라고 생각했고 의사에게 가지 않았습니다. 그런데 그거 아세요? 설상가상이라고, 그녀는 훨씬 더 일찍 그것을 확인했어야 했습니다."
I don’t give a hoot who wins the election.,누가 선거에서 이기든 나는 상관하지 않는다.
I got wind of the fact that they will be closing down our department.,우리 부서가 폐쇄될 것이라는 소문을 들었다.
"Medicines may help your heart to repair, but prevention is always better than cure. An ounce of prevention is worth a pound of cure.",약은 심장 회복에 도움이 될 수 있지만 예방이 항상 치료보다 낫습니다. 1온스의 예방은 1파운드의 치료 가치가 있습니다.
I believe he is going to get the promotion. I can just feel it in my bones.,난 그가 승진할 거라고 믿어요. 뼛속까지 느껴져요.
"She thought that she was pregnant, but it was a false alarm.","그녀는 자신이 임신했다고 생각했지만, 그것은 거짓 정보였습니다."
I went out of my way to make it easier for you.,나는 당신이 편해지도록 노력했습니다.
"Ed is always serious, businesslike, and never wants to relax and have a good time. He is such a stuffed shirt.",에드는 항상 진지하고 사무적이며 결코 편안하고 즐거운 시간을 보내고 싶어하지 않습니다. 그는 격식을 차리는 사람입니다.
She has already burned her bridges with her previous employer by publicly criticizing their marketing policy.,그녀는 이전 고용주의 마케팅 정책을 공개적으로 비판함으로써 이미 이전 고용주와 돌이킬 수 없을 만큼 관계가 되었습니다.
We were finally given the green light to begin setting up the new project.,우리는 마침내 새 프로젝트를 시작할 수 있는 청신호를 받았습니다.
Everyone has rolled up the data and now got them integrated in the system. The ball is in your court to have a final review.,모두가 데이터를 작성하여 이제 시스템에 통합되었으니까 이제 네가 마지막 검토를 할 차례야.
"It takes one to know one, evil breeds evil. ","뭐 눈에는 뭐만 보인다고, 악이 악을 키운다."
"Your cooking isn't too bad, but don't give up your day job.","네 요리 실력이 아주 나쁘진 않지만, 그냥 본업에 충실해."
I was afraid to ask her for a favor. It looked like she had a chip on her shoulder.,내가 그녀에게 부탁을 하기가 무서웠어. 그녀는 뭔가 화나 있는 것 같았어.
Jeffrey definitely has a preferred type of woman that he finds attractive. The last three have been like peas in a pod.,제프리는 분명히 매력적이라고 생각하는 선호하는 유형의 여성을 가지고 있습니다. 마지막 세 개는 똑 닮은거 같았습니다.
There's no such thing as a free lunch.,세상에 공짜가 어디 있나.
My boss was bent out of shape when I missed the deadline.,내가 기한을 놓쳐서 상사가 너무 화났어.
This chocolate was not made from a cake mix; she made it from scratch.,"이 초콜릿은 케이크 믹스에서 만들어진 게 아니에요, 그녀는 처음부터 만들었어요."
She is so random.,참 엉뚱해.
There's no such thing as a free lunch.,공짜가 어딨어.
Let sleeping dogs lie,긁어 부스럼 일으키지 마라
"She spent all her money on clothes and music, and then she asked to borrow money for groceries; she has gall.",그녀는 돈을 모두 옷과 음악에 쓰고 나서 식료품을 사기 위해 돈을 빌리려고 했어요. 그녀는 뻔뻔스럽게 군다.
I could kick myself for not buying that stock which tripled in value.,가치가 3배나 오른 그 주식을 사지 않은 것에 대해 자책할 수도 있었습니다.
Don't remind me. I don't know I weathered the storm for almost two years.,생각하게 하지 마! 내가 거의 2년 동안 어떻게 고비를 넘겼는지 모르겠어.
He keeps giving me the cold shoulder.,존이 내게 계속 차갑게 대하고 있어.
Try not to let the work on your desk pile up.,책상 위에 일이 쌓이지 않게 조심하세요.
Sour grape is a phrase used to describe someone who is sulkinng or jealous of not having something that others have.,못 먹는 감 찔러보기는 다른 사람은 가지고 있으나 본인은 가지고 있지 못함에 대하여 기분이 언짢아 하거나 질투하는 누군가를 묘사하기 위한 말이다.
"When we arrived, Mary was going bananas and shouting at everyone.","우리가 도착했을 때, 메리는 미칠 듯이 화를 내며 모두에게 소리를 지르고 있었습니다."
You really are a chip off the old block.,당신은 정말 부모님과 꼭 닮았어요.
"We won't be able to get this deal underway unless your company is willing to compromise. It takes two to tango, after all.",귀사가 타협할 의사가 없다면 우리는 이 거래를 진행할 수 없을 것입니다. 손뼉도 마주쳐야 소리가 납니다.
"There's nothing English rugby doesn't know abbout pools of death just now, and pools of death are a dime a dozen in the new Europe.",잉글랜드 럭비가 지금 죽음의 수영장에 대해 모르는 것은 아무 것도 없다. 그리고 죽음의 수영장은 새로운 유럽에서는 아주 흔하다.
It's not the end of the world. There are still plenty of other fish.,이게 끝이 아니야. 아직 기회는 얼마든지 있어.
Don't rain on my parade.,내 일에 초지지 마라.
"I didn’t want to hurt his feelings and tell him that he wasn’t selected for the team. So when he asked me if I had any information, I basically beat around the bush.","저는 그의 마음을 상하게 하고 싶지 않았고, 그가 팀에 선발되지 않았다고 말하고 싶지 않았습니다. 그래서 그가 저에게 정보가 있느냐고 물었을 때, 저는 기본적으로 명확한 대답을 하는 것을 피합니다."
No sense burning your bridges. Be polite and leave quietly.,왜 어리석게 인간 관계를 단절시켜. 예의 지키면서 조용히 떠나.
Don't count your chickens before they hatch,김칫국부터 마셔서는 안 된다.
The crowd went bananas when the concert began.,콘서트가 시작 했을 때 군중은 미친 긋이 열광했다.
His company is known for cutting corners with their employees' safety.,그의 회사는 직원들의 안전에 대해 원칙대로 하지 않는 것으로 잘 알려졌습니다.
"This incident made survived patients learn the biggest lesson of life that, An ounce of prevention is worth a pound of cure.",이 사건은 살아남은 환자들에게 1온스의 예방은 1파운드의 치료만큼 가치가 있다는 인생의 가장 큰 교훈을 배우게 했습니다.
"Yeah, that will help to break the ice.","네, 서먹한 분위기를 없애는 데 도움이 되겠네요."
"To hope somebody ‘breaks a leg' is, in fact, a message of goodwill and good luck, usually for a stage actor or musician prior to a performance.",누군가에게 ‘Break a leg'을 희망하는 것은 사실 공연 시작 전 무대 위의 배우나 음악가들을 위한 호의 또는 행운의 메시지이다.
He is not right for this job; he has his head in the clouds.,그는 이 일에 적합하지 않습니다; 그는 뜬구름을 잡는다.
"Bananas used to be very expensive in Korea, but nowadays they are a dime a dozen.","바나나가 전에는 한국에서 매우 비쌌지만, 요즘은 매우 흔하다."
Your company is giving you a month off from work? That sounds a bit fishy.,회사에서 한 달 휴가를 준다고요? 좀 수상할 것 같네요.
"Once bitten, twice shy",자라 보고 놀란 가슴 솥뚜껑 보고 놀란다.
"I completely understand that when it rains, it pours. That is the reason why I save as much of my salary every month as possible.",좋은 일이든 나쁜 일이든 한 꺼번에 일어난 다는 것을 완전히 이해합니다. 그것이 제가 매달 월급을 가능한 많이 저축하는 이유입니다.
The dog days of summer are a difficult period for those who have to work out in the open.,여름의 복날은 야외에서 운동을 해야 하는 사람들에게 어려운 시기입니다.
She put two and two together and realized that he was stealing from the company.,그녀는 사실을 통해 결론을 내렸고 그가 회사에서 훔치고 있다는 것을 깨달았습니다.
"Even though my friend and I had a big fight, I told him we should let bygones be bygones.","저와 친구가 크게 싸웠음에도 불구하고, 저는 친구에게 지난 일은 잊자고 말했습니다."
"You keep trying to convince him to join your company, but I think you're flogging a dead horse. He's happy where he is.","당신은 계속해서 그가 당신 회사에 입사하도록 설득하려고 하지만, 저는 당신이 헛수고를 하고 있다고 생각합니다. 그는 그가 있는 곳에서 행복합니다."
"For the meeting on Friday, we’ve all decided to brown bag it.","금요일에 있을 회의를 위해, 우리는 모두 집에서 점심을 가져오기로 결정했습니다."
The girl’s mother told her daughter about the birds and the bees during the summer holidays.,이 소녀의 어머니는 딸에게 여름방학 동안의 성과 출생에 관한 사실들을 이야기했습니다.
"I've already told you that XY program is a super cool option to learn English, but now the ball is in your court.",XY 프로그램이 영어공부 하기에 꽤 괜찮은 방법이라고 내가 얘기해줬잖아. 선택을 네 몫이야.
He’ll bend over backwards to help any of his friends.,그는 그의 친구들을 돕기 위해 매우 열심히 노력할 것입니다.
you are so full of yourself.,너 재수없어.
Our team won by the skin of our teeth.,우리 팀이 가까스로 이겼습니다.
Just like two peas in a pod. He'd come up almost every weekend to see her and spend time with her. And he just loved her to death.,마치 콩깍지 안에 있는 두 개의 완두콩처럼 그들은 매우 꼭 닮았다. 그는 거의 매주 주말마다 그녀를 보러 와서 그녀와 시간을 보내곤 했습니다. 그리고 그는 그녀를 죽을 만큼 사랑했습니다.
"He refused to answer any of our questions regarding where he spent his vacation, saying instead curiosity killed the cat.","그는 휴가를 어디서 보냈는지에 대한 우리의 질문에 대답하기를 거부했고, 대신 호기심이 지나치면 위험할 수가 있다고 말했습니다."
"Media plays a vital role in creating awareness on the issue, and more and more people are getting on the bandwagon to denounce social evils like drinking and smoking.","미디어는 이 문제에 대한 인식을 형성하는 데 중요한 역할을 하고 있으며, 점점 더 많은 사람들이 음주와 흡연과 같은 사회악을 비난하기 위해 우세한 편에 붙고 있습니다."
"While it is true that fortune favours the bold, you also need to look before you leap. My advice is to not take a risk that you don't find worth the returns.","행운이 용감한 자들의 편이라는 것은 사실이지만, 도약하기 전에 미리 볼 필요도 있습니다. 제 조언은 당신이 그 대가를 치를 가치가 없다고 생각하는 위험을 감수하지 말라는 것입니다."
I wanted to fix the leakage but being so old the pipe was straight out of the frying pan and into the fire.,나는 누수를 고치고 싶었지만 너무 낡아서 파이프가 갈수록 태산이었습니다.
Everything's gonna go south.,모든게 악화될거야.
The best of both worlds,일석 이조 일거 양득
Slow and steady wins the race,서두르면 일을 망친다.
We will never reach an agreement unless we sit down for a discussion. It takes two to tango.,우리는 토론을 위해 앉지 않는 한 절대 합의에 이르지 못할 것입니다. 손뼉도 마주쳐야 소리가 납니다.
His old car finally fell apart.,그의 낡은 차는 마침내 고장 났어.
"I know you're in a rush, so I'll make a long story short.","급하시다는 걸 아니까, 간단히 말씀드릴게요."
"In the words of the old saying, a stitch in time saves nine. ",오래된 속담 중에 제 때의 한 바늘이 뒤의 아홉 바늘을 던다는 말이 있다.
I couldn't work my regular hours. A co-worker gave me a hand and switched schedules with me.,"나는 원래의 스케줄로 일하지 못했고, 동료 직원이 도와주고 일정을 바꿨어."
"When two heavyweights have an argument, its best to sit on the fence and not make either of the turn against you.","두 명의 헤비급 선수가 말다툼을 할 때, 당신에게 불리하지 않는 방향으로 결정을 내리는 것이 가장 좋습니다."
I've never seen so many flowers at a wedding. Do you think maybe you've gone overboard?,"결혼식에서 이렇게 많은 꽃을 본 적이 없는데, 혹시 과한 것은 아닐까요?"
I find the whole issue about these gender roles a storm in a teacup.,저는 이러한 성 역할에 대한 모든 문제가 쓸데 없는 소동이라고 생각합니다.
"Look, I don't want to rain on his parade.","이봐, 나 찬물 끼얹고 싶지 않아."
She just came out of a terrible divorce. She’s doing well now and it seems that she landed on her feet.,"그녀는 이제 막 이혼을 하고 나왔어요. 그녀는 잘 지내고 있고, 안 좋은 상황에서 성공적으로 나온 것 같아요."
"I know it is a big decision, but you shouldn't dwell on it all day.","그것이 큰 결정이라는 것을 알지만, 당신은 하루 종일 그것에 연연해서는 안 됩니다."
"You can't have your cake and eat it too. If you want more local services, you can't expect to pay less tax!","원래 두마리 토끼를 다 잡을 순 없는 거야. 만약 너가 더 많은 지역 서비스를 원한다면, 더 적은 세금을 낼 것이라고 기대할 수는 없는거지."
His speech went well at the corporate meeting. It was a feather in his cap.,그의 연설은 기업 회의에서 잘 진행됐어요. 그 연설은 그의 명예로운 업적이였다.
This song never gets old.,이 노래는 절대 질리지 않아.
She is the most successful go-getter salesperson I've ever seen. She's a real go-getter.,그는 가장 능력자 사람 중 하나에요. 그는 아주 능력이 있는 사람이에요.
"We had a big fight, but this morning I had it out with him, and everything is okay.","우리가 크게 싸웠지만 오늘 아침에 나는 친구와 오해가 있었다는 것을 이야기 했고, 모든 것이 괜찮아요."
"Superhero sequels are a dime a dozen at the cineplex, and they often suffer from quality-control issue.","슈퍼 히어로 속편은 시네플렉스에서 흔히 볼 수 있으며, 품질 관리 문제로 어려움을 겪는다."
"There haven't been any tourists this year, and the hotels, campsites, and restaurants are having to weather the storm until things pick up again.","올해는 관광객이 한 명도 없었고, 호텔, 야영지, 그리고 식당들은 상황이 다시 회복될 때까지 이 고비를 견뎌야 합니다."
"When my supervisor told me that our idea would not work, we had to go back to the drawing board to come up with something else.","상사가 우리의 아이디어가 효과가 없을 거라고 했을 때, 우리는 다른 것을 생각해 내기 위해 처음부터 다시 시작해야 했습니다."
It would be good if you stop sitting on the fence and choose whose side you are on.,당신이 고민하는 것을 멈추고 당신이 누구 편인지 선택하면 좋을 것입니다.
She’s a real go-getter.,그녀는 정말 잘 해냅니다.
"When I saw Eddie's paintings, I suggested that he'd better not give up his day job.","에디 그림을 봤을 때, 그냥 본업에 충실하는 게 낫겠다고 권했어."
she is forbidden fruit.,그 여자는 넘봐서는 안 되는 여자야.
When you are going to call it a day? I wonder why don't you just return back to your hometown when things are not in your favour there?,당신은 언제 이 일을 끝낼 건가요? 사정이 여의치 않은데 그냥 고향으로 돌아가는 게 어때요?
A snowball's chance in hell., 전혀 가망이 없는 희망.
I have made this flyer for the event. Do you think it would cut the mustard?,저는 행사를 위해 이 전단지를 만들었습니다. 당신은 그것이 성공할 것이라 생각하나요?
"He wouldn’t stop tickling me, so I told him to knock it off.",그가 나를 간지럽히는 것을 멈추지 않아서 나는 그에게 그만두라고 말했습니다.
We are all going to chip in and give the teacher a gift.,우리는 모두 돈을 모아서 선생님께 선물을 드릴 겁니다.
Call it a day,오늘은 여기까지
Kevin said that the race is gonna be piece of cake.,케빈이 경주는 누워서 떡먹기 일거라고 말하던데.
He wasn’t sure if he would be chosen to win the award. He had ants in his pants.,수상자로 뽑힐지 확신이 없어서 긴장을 많이 했어요.
Its not right to blame only the other woman for his adulterous affair – it takes two to tango.,그의 불륜에 대해 다른 여자만 비난하는 것은 옳지 않습니다. 손뼉도 마주쳐야 소리가 납니다.
"I was already late to class, but to make matters worse, I forgot my homework.","이미 수업 시간에 늦었는데, 설상가상으로 숙제를 잊었었다."
I won't be home all day. I have many errands to run and will be on the go.,저는 하루 종일 집에 있지 않을 거예요. 심부름이 많아서 뛰어다니느라 바쁠 거예요.
I stayed away from my friend when he had a virus. I would rather prevent it than cure it. An ounce of prevention is worth a pound of cure. Better to be safe than sorry.,친구가 바이러스에 걸렸을 때 나는 친구를 멀리했습니다. 치료하는 것보다 예방하는 것이 낫습니다. 1온스의 예방은 1파운드의 치료 가치가 있습니다. 후회하는 것보다 안전한 것이 낫습니다.
She plans to take up golf next summer.,그녀는 내년 여름에 골프를 취미로 시작할 계획입니다.
"I hate putting a damper on the party, but it is getting late and everyone has to go home.","파티에 찬물을 끼얹는 것은 싫지만, 시간이 늦어지고 있어서 모두 집에 가야 합니다."
You hit the nail on the head.,"맞아, 정확해."
"These days Ronnie is watching television everyday more than three hours a day, his Dad going to call it a day immediately after arriving from his business trip to abroad.","요즘 로니는 매일 3시간 이상 텔레비전을 보고 있는데, 그의 아버지는 해외 출장에서 도착하자마자 즉시 그 것을 끝낼 것입니다."
"I mean, we are really talking apples and oranges when we compre those religions.","내 말은, 우리가 종교를 비교할 때, 우리는 비교 할 수 없는 것을 얘기 하고 있다는 말이다."
"As the saying goes, birds of a feather flock together.",유유상종이라는 말이 있습니다.
My partner and I are splitting up. We do not see eye to eye.,나와 파트너는 헤어지기로 했어요. 우리는 의견이 안 맞아요.
We have bigger fish to fry than to fix it.,우리는 그걸 고치기보다 해야할 더 중요한 일이 있어요.
Even experienced singers sometimes get butterflies before their performance.,무대에 선 경력이 오래된 가수들도 때로는 긴장해.
I'm going to go off my rocker if I have to hear that song one more time!,"그 노래를 다시 한번 들어야 한다면, 내가 이상해 질거 같아."
Finish your meal. No buts.,잔말말고 다 먹어.
I don’t like it when she pushes me around.,나는 그녀가 나를 압박하는 걸 싫어해.
The doctor said he will leave no stone unturned to find a cure for his illness.,의사는 그가 그의 병의 치료법을 찾기 위해 수단과 방법을 가리지 않을 것이라고 말했습니다.
"Eventually, thinngs go south.",결국 어떤 것들은 하향하게 될거야.
She broke her neck last night trying to finalize the proposal.,그녀는 지난 밤에 제안서를 마무리하려고 무척 애를 썼답니다.
Jenny gave John the cold shoulder.,제니가 존을 차갑게 대했어.
Live and learn,오래 살고 볼 일이다
"If you want to play that game, you need a partner who will play with you. It takes two to tango.","만약 당신이 그 게임을 하고 싶다면, 당신은 당신과 함께 할 파트너가 필요합니다. 손뼉도 마주쳐야 소리가 납니다."
They need to hit the sack.,그 사람들 눈 좀 붙이게 해요.
A co-worker gave me a hand.,동료가 저를 도와줬습니다.
I'll kill two birds with one stone by doing them both in one trip to the bank.,은행은 한 번만 가면 되니까 일석이조다.
"The new employee just isn't curring the mustard, and I think we should get rid of him. ","그 신입 사원이 정말 기대에 못 미치고 있어요, 제 생각엔 그 지원 해고해야 할 것 같아요."
I don't want to put all my eggs in one basket and risk not getting accepted.,여러 대학교에 지원 할 거야. 한 한교에만 지원하면 떨어질 수도 있으니까
We had the meeting yesterday when you were out. Let me fill you in on what you missed.,어제 부재중일 때 회의를 했습니다. 빠진 부분에 대해서 말씀드리겠습니다.
It took me four hours to renew my driver's license. I was sent to almost every department and seemed to get the runaround.,"운전면허 갱신에 4시간이 걸렸어. 나는 거의 모든 부서로 보냈고, 마치 어디로 보낸 것처럼 느껴졌어."
I’m going to bat for her.,나는 그녀를 위해 싸울 거야.
I think we are going on a whild goose chase now.,내 생각엔 지금 우리 헛수고 하고 있어.
I wish she would get off my back.,그녀가 잔소리를 그만 했으면 좋겠다.
"She hates to be one for the books around children, and she’s an elementary school teacher. That’s one for the books.",그녀는 어린이들 사이에서 유명한 존재가 되는 걸 싫어해요. 그녀는 초등학교 선생님이에요. 그건 기록에 남을 만한 일이에요.
The theme for this year's party will not work. We need to think up a new idea.,올해 파티 주제가 안 될 것 같아요. 새로운 아이디어를 생각해 봐야 해요.
I don't think that man has washed his clothes in two weeks. He looks like a slob.,나는 그 남자가 두 주 동안 옷을 세탁하지 않은 것 같아. 그는 지저분해 보여요.
Has he decided which offer he is going to accept or is he still sitting on the fence?,"그는 어떤 제안을 받아들일 것인지 결정했나요, 아니면 아직 결정을 내리지 못한 상태인가요?"
A stitch in time saves nine stitches.,제 때의 한 바늘은 뒤의 아홉 바늘의 수고를 덜어준다.
"If you need help, just call on me. I can come at the drop of a hat.",자네가 내 도움이 필요할 때는 망설이지 말고 전화를 주게. 나는 즉시 갈 수 있으니까.
I had a fender bender on my way to work this morning.,오늘 아침 출근하는 길에 가벼운 사고가 있었어요.
I have completely recovered from my surgery and climb the stairs to my fifth floor apartment. I feel as fit as a fiddle.,저는 수술에서 완전히 회복되어 5층 아파트로 가는 계단을 올라갑니다. 몸이 아주 건강해요.
Don't have your head in the clouds about online services.,온라인 서비스에 대해 공상에 잠기지 마세요.
"When my car broke down for the third time, I realized that the car salesman really took me for a ride.","제 차가 세 번째로 고장이 났을 때, 저는 자동차 판매원이 정말로 저에게 사기를 치고 있다는 것을 깨달았습니다."
"I've told him numerous times to manage his routine effectively, but I think I've just been flogging a dead horse.","저는 그에게 그의 일상을 효과적으로 관리하라고 여러 번 말했지만, 저는 그냥 헛수고 하고 있었던 것 같습니다."
It was a close shave getting out of the burning building.,불타고 있는 건물에서 빠져나오는 것은 아슬아슬한 탈출이었습니다.
I got all shook up when I heard the awful news.,그 끔찍한 소식을 듣고 나는 몹시 놀랐습니다.
Live and learn,오래 살면 별일을 다 겪는다. 오래 살고 볼 일이다.
That was good for you annd forget about him. There are plenty of fish in the sea.,그를 잊는게 너에게 좋아. 세상에 기회는 얼마든지 있어.
"I am an export on this, so you should take it with a grain of salt.",난 전문가가 아니니까 감안하면서 들어.
"He did cause a lot of death, but he was like the perfect storm of issues that I think caused this man to become what he was.",많은 죽음의 원흉이긴 해도 그를 둘러싼 모든 문제가 그런 인물이 되도록 등을 떠밀었어요.
Kim does not like the logic and keeps her head in the clouds all the time.,김씨는 논리를 좋아하지 않아서 항상 딴 생각을 한다.
"We had troubles in our relationship before, but we always managed to weather the storm.","이전에 우리 관계에 문제가 있었지만, 우리는 항상 고비를 극복하려고 애썼다."
"To make a long story short, I'd like you to get over here right away.","한마디로 말하면, 네가 당장 여기로 왔으면 좋겠어."
Pull yourself together,힘을내요.
It may be an excellent time to jump on the bandwagon before the gold gets even more expensive.,금값이 더 비싸지기 전에 유행에 편승할 수 있는 절호의 시기일지도 모릅니다.
Everyone seemed very high-brow at the cocktail reception.,칵테일 리셉션에 참석한 모든 사람들이 매우 격식을 차린 듯 했습니다.
They laughm I laugh. It breaks the ice.,그들도 웃고 나도 웃어요. 그렇게 긴장이 풀리는 거죠.
I would not count your chickens before they have hatched.,나라면 김칫국 마시지 않을 것이다.
I can't just throw caution to the wind and eat everything anymore.,이제 더이상 앞 뒤 재지 않고 다 먹어 치울 순 없어.
She is not the type of person who throws cautions to the wind.,그녀는 앞뒤 가리지 않는 사람은 아니다.
"Last semester his grades were very low, so this year he decided to buckle down.","지난 학기에 그의 성적은 매우 낮았고, 그래서 올해 그는 열심히 공부하기로 결심했습니다."
I seem to have got off on the wrong foot with the new boss.,내가 새로 온 상사와 처음부터 관계가 꼬인 것 같다.
"That scientist is considered to be a genius in his field, but with some of the antics he's up to at the university, it looks like he's not playing with a full deck.",그 과학자는 그의 분야에서 천재로 여겨집니다. 하지만 그가 대학에서 익힌 익살스러운 행동들로 보아 그는 정상적인 사람이 아닌 것처럼 보입니다.
What? It isn't rocket science.,뭐? 무슨 엄청 어려운거 하는 줄 알겠어.
The lawyer was shrewd and made a monkey out of his opponent’s client.,그 변호사는 빈틈이 없어서 상대의 의뢰인을 이용해 수작을 부렸습니다.
I had so much to do that I was running around in circles.,나는 할 일이 많아서 무작정 돌아다녔어요.
He had butterflies in his stomach as he walked out onto the stage for his dance performance.,댄스 공연을 위해 무대로 걸어나올 때 그의 가슴이 두근거렸습니다.
I gave it my best shot.,나는 최선을 다했다.
