,en,ko,Results_baseline_enko,Results_baseline_koen
125,Those Chinese fireworks are so cheap. We literally get a bigger bang for our buck.,그 중국 불꽃놀이는 너무 저렴해요. 말 그대로 가성비 최고에요.,그 중국 불꽃놀이는 너무 저렴해요. 우리는 말 그대로 더 큰 폭탄을 얻게 돼요.,The Chinese fireworks are too cheap. It's literally the best cost-effectiveness.
126,Breaking my arm was a blessing in disguise. I married the nurse.,팔 부러진게 오히려 잘된 일이였어. 그 간호사랑 결혼했어.,내 팔을 깨는 것은 위장의 축복이었다. 나는 간호사와 결혼했어요.,It was rather good to break my arm. I got married to the nurse.
127,You've got a chip on your shoulder about me.,너 나에 대해 불만을 가지고 있는 것 같아.,당신은 내 어깨에 칩이 생겼어요.,I think you are dissatisfied with me.
128,He is a diamond in the rough.,그는 흙 속의 진주다.,그는 험한 곳에 있는 다이아몬드입니다.,He is a pearl in the soil.
129,Porsches are a dime a dozen in this area.,이 지역에는 포르셰가 흔하다.,포르쉐는 이 지역에서 십 개씩 달린다.,Painters are common in this area.
130,"You'll be making so much money, our standard fee will be a drop in the bucket.",돈을 많이 벌게 될텐데 그 정도 비용은 새 발의 피죠.,"당신은 돈을 많이 벌게 될 것이고, 우리의 표준 요금은 버킷에서 쪼그라들 겁니다.","I'll earn a lot of money, but that cost will be a new one."
131,"When I first moved to Australia, I felt a fish out of water.","호주에 처음 갔을때, 어색하고 적응하기 힘들었어.",호주로 처음 이사를 갔을 때 물에 빠진 물고기가 느껴졌다.,"When I first went to Australia, it was awkward and difficult to adapt."
132,I wish I weren't a fly on the wall.,몰래 남들 구경하고 싶지 않은데.,나는 벽에 날아가지 않았으면 좋겠어.,I don't want to see others secretly.
133,"I've heard that there has been a lot of infighting, so let us remember that a house divided against itself cannot stand.","내분이 많았다고 들었는데, 뭉치면 살고 흩어지면 죽는다는 말을 기억합시다.","그동안 쟁의가 많았다고 들었는데, 그 자체로 분열된 집도 견딜 수 없다는 것을 기억해보자.","I heard there were many internal conflicts, let's remember that if we unite, we live and if we disperse, we die."
134,"I'm not sure if I'm qualified for the job, but I have a foot in the door thanks to my friend who works there.","그 일을 할 자격이 있는지 확신이 안 서지만, 거기서 일하는 내 친구 덕분에 발을 들였다.","직업에 대한 자격이 있는지는 모르겠지만, 그곳에서 일하는 친구 덕분에 문에 발이 있다.","I am not sure if I am qualified to do that job, but I stepped on thanks to my friend who works there."
135,"I'm sure everyone knows the motto: 'United we stand, divided we fall,'' he said.",뭉치면 살고 흩어지면 죽는다' 라는 말을 모두 알 것이라 생각한다.,"그는 ""우리는 똑바로 서고, 우리는 갈라진다""라는 모토를 누구나 알고 있을 것""이라고 말했다.","I think you will know all the words, ""If you unite, you live and if you disperse, you die."""
136,"He has promised not to tell lies any more, but a leopard can't change his spots.","그는 더 이상 거짓말을 하지 않겠다고 약속했지만, 표범은 반점을 바꿀 수 없는 법이다.","그는 더 이상 거짓말을 하지 않겠다고 약속했지만, 황반은 자신의 위치를 바꿀 수 없다.","He promised no longer to lie, but the villain can't change the point."
137,A little bird told me you were having big problems.,"누군가한테 들었는데, 너 큰 고민이 있다면서.",작은 새가 당신에게 큰 문제가 있다고 말했어요.,I heard from someone that you have a big concern.
138,She eats like a little bird.,아기새처럼 받아 먹네요.,그녀는 작은 새처럼 먹고 있어요.,I get it like a baby bird.
139,He said it was all a load of cobblers.,그는 그것은 모두 순 헛소리라고 말했다.,그는 그것은 모두 러들의 부하라고 했습니다.,He said that it was all pure false sounds.
140,"Ever conscious that a picture paints a thousand words, Cookson interweaves multiple stories with simple visual images. ","Cookson은 백문이 불여일견 이라는 것을 인식하고, 단순한 시각적 이미지로 여러 이야기를 엮어냅니다.","그림은 천개의 단어를 칠한다는 것을 의식할 때, 쿡슨은 단순한 시각적 이미지로 여러 이야기들을 교차시킨다.","Cookson recognizes that white doors are invisible, and draws several stories with simple visual images."
141,The chairman? A safe pair of hands of course.,의장이요? 물론 믿을만한 사람이죠.,회장님입니까? 당연히 안전한 한 쌍의 손입니다.,"Are you the chairman? Of course, he's a reliable person."
142,This new trend in Spanish society has also brought a sea change to restaurants specializing in lunch menus.,스페인 사회의 이 새로운 트렌드는 또한 점심을 전문으로 하는 레스토랑에 엄청난 변화를 가져다 주었다.,스페인 사회의 이러한 새로운 트렌드는 점심 메뉴 전문 음식점들에게도 바다 변화를 가져왔다.,This new trend in Spanish society also brought a huge change to restaurants specializing in lunch.
143,You're a sight for sore eyes.,너를 보니 정말 반갑다.,당신은 눈이 아파요.,I'm very happy to see you.
144,It needs a shot in the arm.,그건 도움 되는 게 필요하다.,팔에서 슛이 필요해요.,It needs to be helpful.
145,Thank you for cheering me up. It was a real shot in the arm.,힘을 내게 해 주셔서 고맙습니다. 정말 큰 힘이 되었습니다.,응원해주셔서 감사합니다. 팔에 진짜 샷이었어.,Thank you for helping me. It was a great help.
146,It is a sight for sore eyes to go down to the docklands and see this hive of activity in an area which 10 years ago was completely derelict.,부두로 내려가 10년 전에는 완전히 버려졌던 지역에서 활발하게 활동하는 벌집을 보는 것은 참으로 반가운 광경입니다.,10년 전 완전히 소실된 지역의 이 활동막을 선착장으로 내려가서 볼 수 있어 가슴 아픈 시선이다.,It's a very pleasant sight to go down to the pier and see a dolmen that is actively active in the area that was completely abandoned 10 years ago.
147,50 police officers to arrest two unarmed men is surely using a sledgehammer to crack a nut.,50명의 경찰이 비무장 남성 2명을 체포하는 것은 작은 일에 너무 큰 힘을 쓰는 것과 같습니다.,unarmed 남자 2명을 체포하기 위해 50명의 경찰관이 반드시 틀을 이용해 너트를 자르고 있다.,The arrest of 50 police officers on two armed men is like using too much power for small things.
148,"He was a sorry sight, soaked to the skin and shivering.",그는 안타까운 모습으로 온 몸이 흠뻑 다 젖은 채 떨고 있었다.,그는 피부에 흠뻑 젖어 숨쉬는 미안함이 느껴지는 모습이었다.,He was trembled with his whole body wet in a sad manner.
149,"Before the roof leak gets worse, let's repair it now. A stich in time saves nine.",지붕 누수가 더 심해지기 전에 지금 수리합시다. 문제를 즉각 처리하면 나중에 수고를 덜 수 있어요.,지붕 누수가 심해지기 전에 지금 수리하자. 시간이 지나면 9개가 절약됩니다.,"Let's repair it now before the roof leaks get worse. If you handle the problem immediately, you can reduce your hard work later."
150,The hotel is within a stone’s throw of the beach.,그 호텔은 해변에서 엎어지면 코 닿을 거리 내에 있다.,호텔은 해변의 돌밭 안에 있습니다.,The hotel is within the street where you can reach if you fall down from the beach.
151,Now you get a taste of your own medicine.,이제 넌 자업자득이다.,이제 자신의 약을 맛볼 수 있어요.,Now you are self-help.
152,My elongated face is a thorn in my side.,나의 늘어진 얼굴은 고민거리이다.,나의 긴 얼굴은 내 옆구리에 가시가 있습니다.,My stretched face is a concern.
153,"I have embarked on a secret strategy to improve the relationship between us, however: absence makes the heart grow fonder. ",그러나 나는 우리 사이의 관계를 개선하기 위해 비밀 전략에 착수했습니다. 떨어져 있으면 더욱 그리워 집니다.,"그러나 우리 간의 관계를 개선하기 위한 비밀의 전략에 돌입했는데, 부재는 마음을 더욱 흐뭇하게 만든다.","However, I started a secret strategy to improve the relationship between us. I miss it even more when we are separated."
154,That pitcher's secret weapon is his sharp curveball.,그 투수의 비장의 무기는 날카로운 커브다,그 투수의 비밀 무기는 날카로운 커브다.,The pitcher's splendid weapon is a sharp curve.
155,He ought to know better at his age.,그는 나잇값도 못한다,그는 나이가 들수록 더 잘 알아야 합니다.,He doesn't even pay for the night.
156,They were working against time to stay on schedule.,그들은 일정에 맞추기 위해 시간에 쫓기며 일하고 있었습니다.,그들은 스케줄에 충실하기 위해 시간을 거스르며 일을 하고 있었다.,They were working in time to meet their schedule.
157,"Never been in such a situation, we are all at sea.","이런 상황에 처해본 적이 없어서, 우리는 모두 어쩔 줄 모르고 있다.","그런 상황이 된 적이 없고, 우리는 모두 바다에 있습니다.","I've never been in this situation, so we all don't know what to do."
158,"You had said that you would call the police if those people harassed you again, but you didn’t. You’re all bark and no bite.","그 사람들이 다시 당신을 괴롭히면 경찰에 신고하겠다고 말했는데, 당신은 그러지 않았어요. 당신은 입만 살아서 떠들어 댈 뿐이지 그렇게 하지는 못합니다.","그분들이 다시 괴롭히면 경찰에 신고하겠다고 했는데, 그러지 않았다. 너 다 고 물지 않았어.","They said they would report it to the police if they harassed you again, but you didn't. You just talk with your mouth and don't do that."
159,It's all Russian and Greek to me.,전부 러시아어 라서 전혀 못 알아 듣겠어요.,저에게는 모든 것이 러시아인과 그리스인입니다.,I can't understand it at all because it's all Russian.
160,So it was all in a day's work for the Irishman.,그래서 그 일은 아일랜드 사람에게는 일상적인 일이야.,그래서 그것은 모두 아일랜드인을 위한 하루의 작업이었다.,That's why it's a routine thing for Irish people.
161,"If you want to bring it up with the boss, I'll support you all the way.",사장님께 이 문제를 제기하고 싶으시면 제가 끝까지 지원해 드리겠습니다.,상사와 함께 하고 싶다면 제가 끝까지 지지하겠습니다.,"If you want to raise this issue to the boss, I will support you until the end."
162,Can you untangle this thread for me? I'm all thumbs.,이 실타래를 좀 풀어줄 수 있나요? 손재주가 없어요.,이 실을 나를 위해 엮어줄 수 있나요? 저는 모두 엄지입니다.,Can you loosen this thread? I don't have a hand.
163,"His new laptop cost him an arm and a leg, but he seems very satisfied with his purchase.","새 노트북을 사느라 많은 돈을 쓰긴 했지만, 그는 구매에 매우 만족하는 걸로 보여.","그의 새 노트북은 팔과 다리에 비용이 들지만, 그는 구매에 매우 만족한 것 같다.","Although he spent a lot of money to buy a new laptop, he seems very satisfied with the purchase."
164,"The lawsuit cost his an arm and a leg, but he won.",그 소송으로 막대한 경비가 들었지만 그는 결국 승소했다.,소송은 팔과 다리에 비용이 들지만 승소했다.,"The lawsuit cost a lot of money, but he eventually won."
165,Paying his three children's tuition fees costs his an arm and a leg.,그는 세 아이들의 학비를 대느라 허리가 휘청거렸다.,세 자녀의 학비를 지불하면 팔과 다리가 든다.,He was shaking his back to pay for the tuition of the three children.
166,You sure have an axe to grind.,당신 분명히 꿍꿍이속이 있네.,당신은 확실히 갈고 닦을 수 있는 축이 있습니다.,You definitely have a mess.
167,It was not an open and shut case.,그것은 단순한 사건이 아니었다.,그것은 개방과 폐쇄의 사례가 아니었다.,It was not a simple event.
168,I can come at the drop of a hat.,나는 즉시 갈 수 있으니까.,모자 한 방울에 올 수 있어요.,I can go immediately because I can.
169,"Because of his mistake, we had to go back to square one.",그의 실수로 모든 일이 백지로 돌아갔다.,그의 실수 때문에 우리는 다시 원점으로 돌아가야 했다.,His mistake led everything to white paper.
170,I need to go back to the drawing board.,저는 처음부터 다시 시작해야 할 필요가 있습니다.,저는 다시 도면판으로 가야 합니다.,I need to start again from the beginning.
171,Baker's dozen.,13개.,Baker의 십여 명입니다.,There are 13.
172,I think we did bend over backwards.,나는 우리가 엄청 애를 썼다고 생각한다.,우리는 거꾸로 굽혔을 것 같아요.,I think we had a lot of hard work.
173,"As always, you are unfortunately between a rock and a hard place.","항상 그랬듯이, 당신은 불행하게도 난처한 처지에 있네요.",언제나처럼 안타깝게도 당신은 암석과 힘든 곳 사이에 있다.,"As always, you are in a bad situation, unfortunately."
174,"In a sense, the Government are between a rock and a hard place.","어떤 의미에서는, 그 정부는 진퇴양난에 빠져있다고 볼 수 있다.",정부로서는 암석과 암석 사이에 있다.,"In some sense, it can be seen that the government is in a crisis."
175,you can binge-watch the entire season with this set.,이 세트로 시즌 전체를 정주행 할 수 있습니다.,이 세트로 시즌 전체를 폭폭 시청할 수 있습니다.,This set allows you to run the entire season.
176,I told you not to bite off more than you can chew.,무리 하지 말라고 말했잖아.,나는 네가 씹을 수 있는 것보다 더 많이 치지 말라고 말했어요.,I told you not to pile up.
177,she hoped the new program would not bite the dust for lack of funding,그녀는 새로운 프로그램이 자금부족으로 망하지 않기를 희망했습니다,그녀는 새로운 프로그램이 예산 부족으로 먼지를 물지 않았으면 좋겠다고 바랐다.,She hoped that the new program would not fail due to a lack of funds.
178,I could just bite my tongue.,내가 하고픈 말을 참을 수가 있었어.,나는 그냥 혀를 물릴 수 있었어.,I could tolerate what I wanted to say.
179,"I wanted to tell him he looked ridiculous, but I bit my tongue .",우스꽝스럽다는 말이 목구멍까지 올라왔지만 참았다.,"나는 그가 너무 황당한 것 같다고 말하고 싶었지만, 나는 혀를 아버렸다.","The word ridiculous came up to my throat, but I endured it."
180,Expect balmy temperatures by day and brass monkeys at night.,"낮에는 온화한 기온, 밤에는 몹시 추운 날씨 입니다.",낮마다 매서운 기온과 밤에는  원숭이를 기대합니다.,It's a mild temperature during the day and a very cold weather at night.
181,"Now look, let's get down here to brass tacks.","자 보세요, 우리 여기서 본론으로 들어가죠.","이제 보자, 여기 불로 내려가자.","Let's sleep, let's go to the main topic here."
182,They translated a bricks and mortar to the Web.,그들은 오프라인 가게를 웹으로 옮겼다.,그들은 벽돌과 벽돌을 웹으로 번역했어요.,They moved the offline store to the web.
183,"She stays up late every night, burning the midnight oil to study for her exams.",그녀는 시험 공부를 위해 매일 밤 새워가며 늦게까지 열심히 공부하고 있어요.,그녀는 매일 밤 늦게 일어나 자정 기름을 태우며 시험을 공부합니다.,She is studying hard until late every night to study for the exam.
184,"After multiple repairs and breakdowns, they finally realized they had bought a lemon and decided to cut their losses.",여러 번의 수리와 고장 끝에 그들은 마침내 속아서 쓸모 없는 것을 구입했다는 사실을 깨닫고 손실을 줄이기로 결정했습니다.,여러 차례 수리와 고장이 난 뒤 결국 레몬을 샀음을 깨닫고 손실을 줄이기로 했다.,"After several repairs and failures, they finally realized that they had mistakenly purchased things that were not useful and decided to reduce losses."
185,"What's the matter, cat got your tongue?",왜 그래? 왜 말을 못해?,"무슨 일이니, 고양이가 입술을 잡았나요?",Why? Why can't you tell me?
186,He found out about my painkiller addiction and is using it to blackmail me—he has me by the short hairs now.,그 사람은 내 진통제 중독을 알아차리고 그걸 이용해 나를 협박하고 있어요. 이제 그 사람이 완전히 나를 좌지우자 하고 있어요.,"그는 제 진통제 중독을 알게 됐고, 그걸 이용해서 협박을 하고 있어요. 지금 짧은 머리로 데리고 있어요.",He knows my painkiller addiction and is threatening me using it. Now he is trying to put me down completely.
187,If he'd known that he was to find himself seated cheek by jowl with his old enemy he wouldn't have attended the dinner. ,만일 그가 자신의 오랜 적과 가까이 앉게 될 것이라는 것을 알았다면 그는 저녁 식사에 참석하지 않았을 것입니다.,그가 옛 적과 함께 뺨에 앉힌 자신을 발견하려는 것을 알았더라면 저녁 식사에 참석하지 않았을 것이다.,"If he knew he would sit close to his old enemy, he would not have attended the dinner."
188,It’s impossible to live on such a chicken feed salary.,그런 쥐꼬리만한 월급으로는 살 수가 없다.,이런 치킨 사료 급여로 사는 것은 불가능합니다.,You can't live with such a monthly salary.
189,We can chow this pizza down in about two minutes!,이 피자는 약 2분 안에 다 먹을 수 있어요!,우리는 이 피자를 2분 정도면 떨어뜨릴 수 있어요!,You can eat this pizza in about 2 minutes!
190,"I will be there on time, come hell or high water.",나는 제시간에 거기에 갈 것이다. 무슨 일이 있어도.,"나는 제때에 그곳에 있을 것, 지옥이나 높은 물을 오세요.","I'll go there on time, if anything happens."
191,That's an hour on the exercise bike. I can't do any more - I'm crackered.,운동용 자전거를 타는 한 시간입니다. 더 이상 할 수가 없어요. 완전히 기진맥진이에요.,"운동자전거를 타고 한 시간입니다. 더는 할 수 없어, 머리가 니다.",It's an hour to ride an exercise bike. I can't do it anymore. I'm completely sick.
192,"The job interview is a week away, so I'll cross that bridge when I come to it.",면접이 아직 일주일 남아서 그건 그때가서 생각 할거다.,취업 면접이 일주일 앞으로 다가왔으니 그 다리에 오면 건너겠습니다.,"There is still a week left for the interview, so I will think about it at that time."
193,The daily grind of taking care of three children was wearing her down.,세 자녀를 돌보는 매일의 고된 일이 그녀를 지치게 만들었습니다.,3명의 아이들을 돌보는 일의 일만이 그녀의 몸을 게 하고 있었다.,The hard work of taking care of her three children made her tired.
194,This car is a dead ringer for the one I used to own.,이 차는 전에 내가 갖고 있던 차와 똑 닮았다.,이 차는 내가 가지고 있던 차의 죽은 링커입니다.,This car looks like the one I had before.
195,They had been with him for donkey's years and knew him inside out.,그들은 그와 아주 오랫동안 지내왔고 그에 대해 속속히 알고 있었다.,"그들은 당나귀와 몇 년 동안 함께 했고, 그 안에서 그를 알고 있었다.",They had been with him for a long time and knew him one after another.
196,It is not smart to bite the hands that feed you.,은혜를 원수로 갚는 것은 똑똑한 짓이 아니다.,당신을 먹이는 손을 물리는 것은 똑똑하지 않다.,It is not a smart thing to repay grace as a enemy.
197,I soon found myself head over heels in love with this girl.,나는 곧 이 여자와 홀랑 사랑에 빠져버렸다.,나는 곧 이 소녀와 사랑에 빠진 나를 발견했어요.,I soon fell into love with this woman.
198,Is it just flogging a dead horse to ask for another recount of the votes?,표결을 다시 이야기 하자고 요청하는 것은 헛수고 인가요?,투표 결과에 대한 다시 한 번 재조사를 요구하는 것은 그저 죽은 말에 불과하나요?,Is it wrong to ask to talk about the vote again?
199,"I said to him that please be careful, cause I got out of the wrong side of the bed.",꿈자리가 나빠서 나는 그에게 제발 조심하라고 말했다.,내가 침대 옆을 잘못 나왔기 때문에 조심하라고 말했어.,I told him to be careful because my dream was bad.
200,I just can't wrap my head around this idea.,나는이 아이디어에 대해 이해 할 수 없습니다.,나는 그냥 이 아이디어에 머리를 감을 수 없어.,I can't understand this idea.
201,Raphael Nadal looked like he was straight from a street gang. I guess you can't judge a book by its cover.,라파엘 나달은 길거리 갱단 출신인 것처럼 보입니다. 겉만 보고 판단할 수는 없는 것 같아요.,라펠 나달은 길거리 조폭에서 나온 것 같았어. 책 표지로 판단할 수는 없을 것 같아.,"Rafael Nadal seems to be from a street gang, but I can't judge it just on the outside."
202,"Bob's father-in-law has given him and old Rolls Royce, but it's a real white elephant.","밥의 의붓아버지는 그에게 롤스 로이스를 주었는데, 그것은 정말 돈이 드는 무용지물이다.","밥의 시어머니가 그에게 옛 롤스 로이스를 줬지만, 그것은 진짜 하얀 코끼리입니다.","Bob's stepfather gave him Rolls Roys, which really costs money."
203,People in Myanmar believe that the white elephant is holy.,미얀마의 사람들은 흰 코끼리가 신성하다고 믿습니다.,미얀마 사람들은 흰 코끼리가 신성하다고 믿는다.,People in Myanmar believe that white elephants are sacred.
204,"She had promised not to reveal the gender of her baby, but during a chat, she inadvertently let the cat out of the bag.",아기의 성별을 밝히지 않기로 약속한 그녀는 대화 도중 우연히 비밀을 누설하게 된다.,"그녀는 아기의 성별을 공개하지 않겠다고 약속했지만, 채팅 중 고양이를 주머니에서 함부로 꺼내버렸다.","She promised not to reveal her baby's gender, and accidentally divulge the secret during the conversation."
205,We have to remember that a fish rots from the head down.,우리는 윗물이 맑아야 아랫물이 맑다라는 사실을 기억해야 합니다.,우리는 물고기가 머리에서 썩는 것을 기억해야 한다.,We should remember that the upper water must be clear to the lower water.
206,"It started to rain harder, but we gritted our teeth and carried on.",비가 더 심하게 내리기 시작했지만 우리는 이를 악물고 계속했다.,"비가 더 많이 내리기 시작했지만, 우리는 이빨을 고 버텨냈다.","It started to rain more severe, but we continued to grip it."
207,The marketing department put on quite a dog and pony show to impress the potential clients.,그 마케팅부는 잠재 고객들에게 인상을 심어 주기 위해 신제품 전시 행사를 진행하였다.,마케팅 부서에서는 잠재적인 고객사에게 감동을 주기 위해 꽤 많은 개와 포니 쇼를 펼쳤다.,The marketing department held a new product exhibition event to give impressions to potential customers.
208,The rainbow baby got all the love from her family.,유산 후에 얻은 아기는 가족의 사랑을 듬뿍 받았다.,무지개 아기는 가족으로부터 모든 사랑을 받았다.,The baby gained after the miscarriage received a lot of love from the family.
209,Let's not beat a dead horse anymore.,더 이상 끝난 얘기를 거론하지 말아요.,죽은 말을 더 이상 치지 말자.,Don't talk about the end anymore.
210,"If you back the wrong horse in the real estate market, the consequences can be painful.",부동산 시장에서 잘못된 결정을 내리면 그 결과는 고통스러울 수 있습니다.,부동산 시장에서 잘못된 말을 뒤집으면 그 결과는 고통스럽을 수 있다.,"If you make a wrong decision in the real estate market, the result can be painful."
211,"He talks like he knows acting, but he's still a greenhorn.",그는 연기에 대해 아는 것같이 말하지만 아직 풋내기다.,"그는 연기를 아는 것처럼 말하지만, 여전히 푸른 뿔이 있다.","He says he knows about acting, but he is still a child."
212,The concert you missed last night was off the chain.,어젯밤에 놓친 콘서트는 정말 좋고 신났어요.,어제 밤 당신이 놓쳤던 콘서트는 체인에서 나갔어요.,The concert I missed last night was really good and exciting.
213,"If it had not been chaired by Humphrey Temperley, it would be pushing up the daisies.",Humphrey Temperley가 의장을 맡지 않았다면 그 의장은 죽었을 것입니다.,"만약 휴플리 템퍼리의 의자에 앉지 않았다면, 그것은 소란을 밀어내고 있을 것이다.","If Humphrey Temperley did not serve as chairman, the chairman would have died."
214,The toy box after the kids done playing is always a barrel of monkeys.,아이들이 놀고 나면 장난감 상자는 늘 어지러워요.,아이들이 놀고 나면 장난감 상자는 항상 원숭이의 통이다.,"After children play, the toys box always gets dizzy."
215,"His direct words drove home how much he cared, leaving no room for misinterpretation.","그의 직접적인 말은 그가 얼마나 관심을 갖고 있는지를 일깨워 주었고, 오해의 여지가 전혀 없었습니다.",그의 직접적인 말은 그가 얼마나 아끼었는지 집으로 몰아가며 오해의 여지를 남기지 않았다.,"His direct words reminded me how interested he was, and there was no room for misunderstanding at all."
216,"To ensure a fair testing environment for all students, the teacher must be hard and fast during the test.",모든 학생에게 공정한 시험 환경을 보장하기 위해 교사는 시험 중에 엄격해야 합니다.,모든 학생에게 공정한 시험 환경을 보장하기 위해 교사는 시험 기간 동안 힘들고 빨리 해야 합니다.,"To ensure a fair test environment for all students, teachers should be strict during the test."
217,"When disaster struck, many volunteers rushed to the affected area to lend a hand by providing support to those affected.",재난이 닥치자 많은 자원봉사자들이 피해 지역으로 달려가 피해를 입은 사람들을 도와 주었습니다.,재난이 닥치자 많은 자원봉사자들이 피해지역에 달려들어 피해를 입은 사람들에게 지원을 하며 손을 빌리기도 했다.,"When the disaster broke out, many volunteers ran to the affected area to help the affected people."
218,"The unexpected discovery of oil reserves in the region is grist to the mill for the country’s economy, offering new opportunities for development and prosperity.",이 지역에서 예상치 못한 석유 매장량의 발견은 국가 경제에 큰 부담이 되며 발전과 번영을 위한 새로운 기회를 제공합니다.,이 지역에서 예상치 못한 석유 비축량이 발견되면서 국가 경제에 새로운 발전 및 번영의 기회를 제공하고 있다.,The discovery of unexpected oil reserves in this region is a big burden on the national economy and provides new opportunities for development and prosperity.
219,Someone needs to bell the cat and inform the police that the wanted gangster is living in the suburbs.,누군가는 위험한 작업을 수행하고 수배된 갱스터가 교외에 살고 있다는 사실을 경찰에 알려야 합니다.,"누군가는 고양이를 종을 울리고, 원하는 조폭이 근교에 살고 있다는 사실을 경찰에 알려야 한다.",Someone should carry out dangerous work and inform the police that the seized gangster lives in the suburbs.
220,My manager held my feet to the fire when I struggled to meet deadlines and deliver high-quality work. I knew I had to step up or face serious consequences.,나의 상사는 내가 마감일을 지키고 고품질의 작업을 수행하는 데 어려움을 겪을 때 나에게 책임을 다하도록 강요합니다. 나는 한 발 더 나서지 않으면 심각한 결과에 직면해야 한다는 것을 알았습니다.,마감기한을 맞추거나 양질의 업무를 납품하기 위해 고군분투했을 때 상사가 불을 지폈다. 앞으로 나서거나 심각한 결과를 맞닥뜨릴 수밖에 없다는 것을 알았기 때문이다.,My boss force me to fulfill my responsibility when I have difficulty keeping the deadline and performing high-quality work. I know I have to face serious consequences if I don't take a step further.
221,My roommate had a cow when I spilled coffee on the carpet.,내가 카펫에 커피를 쏟았을 때 룸메이트가 화를 냈습니다.,내 방메이트는 카펫에 커피를 흘려먹을 때 소가 있었다.,"When I poured coffee into the carpet, my roommate was angry."
222,No one knew if the rookie was worth his salt until he got thrust into the starting lineup.,그가 선발 라인업에 투입되기 전까지는 그 신인이 효과적일지 아무도 몰랐다.,선발 라인업에 투입되기 전까지 신인이 소금이 되는지 아무도 몰랐습니다.,No one knew whether the rookie would be effective until he was put into the starting lineup.
223,A team is never truly cohesive until its members discover they were cut from the same cloth.,팀은 구성원들이 비슷한 특성을 공유한다는 사실을 발견할 때까지 결코 진정으로 응집력이 없습니다.,한 팀은 구성원들이 같은 옷에서 절단된 것을 발견하기 전까지 결코 진정 응집력이 없다.,The team is never truly cohesive until it finds that members share similar characteristics.
224,"A crash course in finances taught my kids good lessons in budgeting, saving, and spending wisely.","재정에 대한 특강은 우리 아이들에게 예산을 세우고, 저축하고, 현명하게 소비하는 좋은 교훈을 가르쳐 주었습니다.","재정 실패 강좌는 우리 아이들에게 예산 편성, 저축, 지출에 대한 좋은 교훈을 주었습니다.","The special lecture on finance taught our children good lessons of setting budgets, saving, and wisely spending."
225,Our efforts will bear fruit.,우리 노력이 결실을 맺을 것이다.,우리의 노력이 결실을 맺을 것입니다.,Our efforts will be fruitful.
226,I’m trying to curb my sweet tooth by replacing sugary treats with healthy snacks.,저는 설탕이 든 간식을 건강한 간식으로 대체함으로써 제가 단 음식을 좋아하는 것을 억제하려고 노력하고 있습니다.,저는 설탕이 들어간 간식을 건강한 간식으로 대체하여 달콤한 치아를 억제하려고 노력하고 있습니다.,I'm trying to suppress my favorite sweet food by replacing sugar-filled snacks with healthy snacks.
227,"Despite many obstacles, the relief efforts rose to the occasion and provided quick aid to the disaster victims.","많은 장애물에도 불구하고, 구호 활동은 그 상황에 대처했고 재난 피해자들에게 신속한 구호를 제공했습니다.","많은 장애물에도 불구하고, 구호 노력은 그 계기로 상승하여 재난 피해자에 대한 신속한 도움을 제공하였다.","Despite many obstacles, relief activities dealt with the situation and provided rapid relief to the victims of the disaster."
228,The wealthy businessman hired an actor to pretend to be him—a man of straw—so that his identity would remain secret.,그 부유한 사업가는 그의 신분을 비밀로 유지하기 위해 그를 가장하기 위해 허수아비 같은 배우를 고용했습니다.,부유한 사업가는 배우를 고용하여 자신의 신분을 비밀로 유지하도록 하였다.,The wealthy businessman hired an actor like Heo Su-abi to disguise him to keep his identity secret.
229,We kept our eyes peeled for any signs of life.,우리는 생존자의 흔적이 있는지 눈이 빠지게 찾았다.,우리는 삶의 어떤 징후에도 눈을 피웠다.,We found out if there were any traces of the survivor.
230,I’m not going to believe your experiment this time; it always goes down a blind alley.,나는 이번에는 당신의 실험을 믿지 않을 것입니다. 그것은 항상 막다른 골목을 지나가기 때문입니다.,"이번에는 당신의 실험을 믿지 않을 것이에요, 항상 블라인드 골목으로 내려가요.",I won't believe in your experiment this time because I always pass through the end of the alley.
231,"Jose appeared decent, but his true nature was one who liked to live on the edge.","호세는 점잖게 보였지만, 그의 본성은 모험적인 삶을 사는 것을 좋아하는 사람이었습니다.","호세는 착해 보였지만, 그의 진정한 본성은 가장자리에서 사는 것을 좋아하는 사람이었다.","Jose seemed polite, but his nature was a person who liked to live an adventure."
232,Our family is going to push the boat out and throw a huge party to celebrate my parents’ golden wedding anniversary.,우리 가족은 부모님의 금혼 기념일을 축하하기 위해 큰 파티를 열 예정입니다.,우리 가족은 부모님 황금결혼기념일을 축하하기 위해 배를 밀어내고 큰 파티를 할 예정입니다.,My family is planning to hold a big party to celebrate the birthday of my parents' marriage.
233,The revolution tolled the death knell for the Russian monarchy.,그 혁명으로 러시아 군주제는 종말을 고했다.,혁명은 러시아 군주제에 대한 죽음 bell을 었다.,The revolution ended the Russian monarchy.
234,The owner of the business chose to take a back seat and let the board members run the company.,사업주는 덜 중요한 역할을 선택하고 이사진이 회사를 운영하도록 했습니다.,사업 주인이 뒷자리에 앉아 이사들이 회사를 운영하도록 선택하였다.,The employer chose a less important role and allowed the directors to run the company.
