Idioms,en,ko
,"If you have bigger fish to fry, you should take time to solve it.","더 중요한 일이 있다면, 너는 그 문제를 시간을 가져야 해."
,My son won first prize at his school science fair! He's a chip off the old block.,우리 아들이 학교 과학 박람회에서 1등을 했어! 부전자전이네.
,He's a chip off the old block.,부전자전이네.
,"Joey is definitely a chip off the old block, based on his interest in history.",조이가 역사에 관심 있는 걸 보면 확실히 부전자전인 것 같아.
,"Your daughter looks just like you, she's a chip off the old block.","따님께서 똑같으신 걸 보면, 모전여전인 것 같네요."
,"With the same strong physique as his father, Gary is clearly a chip off the old block.","게리가 아버지와 똑같이 체격이 건장한 걸 보면, 확실히 부전자전인 것 같아."
,You really are a chip off the old block.,당신은 정말 부모님과 꼭 닮았어요.
,The public decided he was a chip off the old block.,대중은 그가 아버지 판박이라고 결론을 내렸어요.
,"Yes, he's a chip off the old block, all right.","그래요, 그는 아버지를 빼닮았어요, 확실해요."
,"Unless I miss my guess, he's a chip off the old block.",제 추측이 틀리지 않는다면 그는 아버지 판박이이에요.
,DARREN FERGUSON is starting to show he's a chip off the old block.,대런 퍼거슨은 그가 아버지를 쏙 빼닮았다는 것을 보여주기 시작합니다.
,"Bill Jones, Jr., is a chip off the old block. He's a banker just like his father. ",빌 존스 주니어는 아버지와 똑같다. 그는 또 아버지와 마찬가지로 은행가이다.
,You hit the nail on the head.,"맞아, 정확해."
,"Well, I think you just really hit the nail oh the head.",현실을 아주 정확히 꿰뚫고 있네요.
,"Did I get that right? Nail on the head, Barry.","맞게 이해 했나요? 아주 정확해요, 배리."
,You've hit the nail on the head.,맞았어 바로 그거야. 정곡을 찔렀어.
,You've hit the nail on the head. That's exactly what I want.,맞아서 바로 그거야. 정곡을 찔렀어. 그게 바로 내가 원하는 거야.
,"My boss doesn't say much, but every now and the he hits the nail on the head.","우리 사장님은 별로 말을 하지 않지만, 이따금씩 효과적으로 말씀을 하셔."
,"When my car didn't start, my friend took a look and said that its due to a dead battery.","내 차가 시동을 걸리지 않아서, 내 친구 내려서 살짝 보더니 배터리가 다 돼서 그렇다고 말했어. 내 생각에 그가 정확히 맞는 말은 한 것 같았어."
,You hit the nail on the head. Don't worry. I'm going to finish the rest of it later.,정곡을 찌르는 구만. 걱정 마. 나머지 부분은 나중에 먹을 거야.
,Ignorance is bliss,모르는 게 약이다.
,Some doctors believe ignorance is bliss and don't give their patients all the facts.,일부 의사들은 모르는 게 약이라고 믿고 환자들에게 모든 사실들을 다 알려주지는 않아.
,I don't want to know if Tony is dating other women; ignorance is bliss. ,토니가 다른 여자들을 만나고 다니는지 알고 싶지 않아. 모르는 게 약이야.
,She doesn't want to take the red pill. She thinks ignorance is bliss. ,그녀는 불편한 진실을 알게 해 주는 빨간 약을 먹고 싶어 하지 않아. 그녀는 모르는 게 약이라고 생각하거든.
,"Where ignorance is bliss, Tis folly to be wise.",무지가 지복인 곳에서 현명한 것은 어리석다.
,"They say ignorance is bliss, but it's downright frustrating for me.",그들은 무지가 축복이라고 말하지만 나에게는 완전히 짜증나는 것이다.
,There are too many people living by the motto  if ignorance is bliss than let me stay ignorant. ,너무나도 많은 사람들이 무지가 축복이라면 무지한 상태로 있겠다라는 모토를 가지고 살아간다
,It's not over till the fat lady sings.,끝날때까지 끝난게 아니다.
,It ain't over till the fat lady sings.,끝날 때 까지 끝난 게 아니다.
,There's a still 1 inning left in the game. It's not over till the fat lady sings.,아직 1인닝 남았거든. 끝날때까지 끝난게 아니야.
,"Some people think that he's already lost the election, but it ain't over till the fat lady sings, you know!","사람들은 이미 그가 선거에서 졌다고 말하지만, 결과는 끝까지 가봐야 아는 거라고!"
,It ain't over till the fat lady sings.,길고 짧은 건 대봐야 알아요.
,"It takes one to know one, evil breeds evil. ","뭐 눈에는 뭐만 보인다고, 악이 악을 키운다."
,It takes one to know one. ,너야말로 사돈 남 말하네
,It takes one to know one. ,뭐 눈엔 뭐만 보이지.
,It takes one to know one. ,사돈 남 말 하네.
,It takes one to know one. ,사돈 남 말 한다.
,It's a piece of cake.,누워서 떡 먹기.
,"It was so hard to deal with this company, but the South Korean one, it was a piece of cake.","이번 회사랑은 정말 힘들었는데, 한국회사랑은 진짜 쉬웠었어."
,How was the test? wasn't it a piece of cake?,시험 어땠어? 누워서 떡먹기 아녔어?
,"Don't worry, this job interview will be a piece of cake for you. ","걱정마, 너한텐 이 면접 진짜 아무것도 아닐껄."
,No worries.  It's a piece of cake!  Where can they find a guy like me?,걱정 마. 식은 죽 먹기야! 나같은 사람을 어디서 찾겠어?
,Kevin said that the race is gonna be piece of cake.,케빈이 경주는 누워서 떡먹기 일거라고 말하던데.
,It's a piece of cake compared to my job this morning.,오전에 내가 한 일에 비하면 이건 식은 죽 먹기 수준 이야.
,It'll be a piece of cake for him.,그에게는 식은 죽 먹기지.
,It's a piece of cake because I am a sewist.,누워서 떡먹기지 왜냐하면 나는 취미가 바느질이거든.
,Of course! I can beat you. It's a piece of cake!,당연하지! 나는 너를 이길 수 있어. 식은 죽 먹기라고!
,I think it's a piece of cake to me.,뭐 편하게 해도 될 거 같아요.
,it's raining cats and dogs. ,비가 억수로 쏟아지고 있어.
,It's raining cats and dogs.,비가 억수같이 내리네요.
,I wouldn't go out right now. It's raining cats and dogs. ,지금 밖에 나가지 않을거야. 비가 엄청 많이 오거든.
,It was raining cats and dogs last night.,어젯 밤에 비가 억수로 쏟아졌다.
,It's raining cats and dogs out there. ,밖에 비가 너무 많이 내리고 있어.
,It's still raining cats and dogs out there. ,밖에 아직도 억수같이 비가 오고 있어요.
,It's raining cats and dogs outside. ,밖은 비가 엄청나게 내리고 있습니다.
,Kill two birds with one stone,일석이조
,Kill two birds with one stone,꿩 먹고 알 먹기이다
,I'll kill two birds with one stone by doing them both in one trip to the bank.,은행은 한 번만 가면 되니까 일석이조다.
,I have to cash a check and make a payment on my bank loan. I'll kill two birds with one stone by doing them both in one trip to the bank.,"나는 수표를 바꿔야 했고, 또 은행 대부금을 갚지 않으면 안 된다. 은행은 한 번만 가면 되니까 일석이조다."
,This will kill two birds with one stone. ,이것은 일석 이조 일 것이다.
,There's a way to kill two birds with one stone.,일석이조의 방법을 찾은거죠.
,This program is like killing two birds with one stone.,이 프로그램은 일석이조의 효과가 있어.
,To kill two birds with one stone for me today or this weekend is that I get to spend time with my sister Karen and the other thing is that I am here for the inauguration.,오늘이나 이번 주말에 나를 위해 일석이조의 효과를 낸다는 것은 내 여동생 카렌과 함께 시간을 보낼 수 있다는 것이고 또 하나는 내가 취임식에 참석했다는 것입니다.
,Let the cat out of the bag,무심결에 비밀을 누설하다.
,"I wanted it to be a surprise, but my sister let the cat out of the bag.",난 그것을 깜짝 파티로 하고 싶었는데 우리 여동생이 무심코 말해 버렸다.
,Let the cat out of the bag' is an idiom meaning to tell a secret by mistake. ,let the cat out of the bag은 '무심코 비밀을 말해 버리다'는 뜻의 관용구이다.
,"She wasn't planning to tell anyone the sex of the baby, but her husband let the cat out of the bag accidentally. ","그녀는 아무에게도 아기의 성별을 말하지 않을 생각이었는데, 남편이 그만 비밀을 누설하고 말았다."
,Who let the cat out of the bag? ,누가 그 사실을 불었어?
,She really let the cat out of the bag. ,그녀는 정말 무심코 비밀을 누설했단다.
,We always let the cat out of the bag.,우리는 여차하면 말해버려요.
,Live and learn,오래 살면 별일을 다 겪는다. 오래 살고 볼 일이다.
,Live and learn,오래 살고 볼 일이다
,There's always those growing pains of you live and learn.,살아가며 배우는 성장통은 항상 있습니다.
,Look before you leap,돌다리도 두드려보고 건너라.
,"As the saying goes, Look before you leap. I make sure that every detail is covered and that the contracts are free of loopholes. ","돌다리도 두드려 보고 건너라'는 속담처럼 모든 세부사항이 다루어졌는지, 허점은 없는지 확인합니다."
,He remembered the old adage Look before you leap. ,그는 돌다리도 두드려 보고 건너라.라는 옛 속담이 생각났다.
,"Richard, I am on thin ice as it is at Raviga.","리처드, 난 지금 라비가에서 살얼음판을 걷고 있어요."
,You're on thin ice.,당신은 살얼음판을 밟고 있어요.
,"He's on thin ice now, you know?",이제 멀더는 살얼음판에 서 있지.
,"Lefkovitz is on very thin ice with the school district and the teachers unnion. One more screwup, and he'' never teach again.",그 선생 지금도 아슬아슬해요. 학교와 교원 노조 규칙에 따라서 또 문제 일으키면 다신 못 가르쳐요.
,"Fine, Mosby can stay, but tell him he's onn thin ice.",그럼 모즈비는 남겨 둬. 그래도 조심하라고 해.
,You're on thin ice,살 얼음판 위에 있어.
,Once in a blue moon,가뭄에 콩 나듯
,Mary's daughter only visits her once in a blue moon.,메리의 딸은 그녀를 거의 찾아오지 않는다.
,He seldom goes to the ball park maybe once in a blue moon.,그는 가뭄에 콩 나듯 야구장에 간다. 
,It was only once in a blue moon.,그건 단지 어쩌다가 한 번이었어.
,It rains in the desert once in a blue moon.,사막에서는 비가 오는 일이 드물다.
,"The economy'so bad, I only make a sale once in a blue moon.",경기가 안 좋아서 거래가 가뭄에 콩 나듯 있어요.
,"Listen, Frank, all I'm asking is that you play devil's advocate.","프랭크, 그냥 오셔서 반대 의견만 말하시면 돼요."
,I was just playing devil's advocate.,난 그저 의도적으로 반대자를 흉내낸 거야.
,"You know, I've asked Dan and Mike to play devil's advocate against this bill, assemble some arguments. You know, what people might say against it and stuff.",댄과 마이크에게 반대 비판을 시켰어. 국민이 할만한 반대 의견을 모아 오라고 했지.
,Dan is a great choice. He is already a huge advocate of the devil's.,댄은 잘할 거예요. 이미 의도적 반대자 이거든요.
,Then use me. I'll be your devil's advocate.,그러면 날 활용하세요. '의도적 반대자' 역할을 할 테니까.
,Mary offered to play devil's advocate and argue against our case so that we would find out any flaws in it.,"메리는 일부러 반대 의견을 말하여 우리의 소송에 반론을 펴서, 그 소송에 무언가가 미비한 것이 없는지를 우리가 알도록 했어."
,Often interviewer will need to play devil's advocate in order to get a discussion going.,논의가 이어지게 하려면 흔히 인터뷰 진행자가 선의의 비판자 노릇을 할 필요가 있다.
,I am slightly playing Devil's advocate between Professor Heald and Sir Peter.,나는 헤럴드 교수님과 페터씨 사이에서 어능 정도 선의의 비판자 역할을 하고 있어.
,The whole deal was put on ice when the stock market fell.,주식 시장이 폭락하자 모든 거래가 지연되었다.
,Do you mind if we put data night on ice for a few weeks until we get done with this project at work?,회사 프로젝트가 끝날 때까지 저녁 데이트를 미루는 게 어때요?
,The move plan was put on ice because of the economic situation.,경제 상황 때문에 이사 계획은 보류 됐어.
,The whole deal was put on ice when the stock market fell sharply.,주식 시장이 가파르게 하락했을 때 전 거래가 보류 되었다.
,Do you mind if we put date night on ice for a few weeks until we get done with this project at work?,회사에서 이 프로젝트 끝날 때까지 우리 데이트 잠시 미뤄도 될까?
,They had to put their wedding on ice because of the Covid-19.,그들은 코로나 때문에 결혼식을 미뤄야 했다.
,Don't rain on my parade.,내 일에 초지지 마라.
,"Look, I don't want to rain on his parade.","이봐, 나 찬물 끼얹고 싶지 않아."
,Don't rain on somebody's parade.,다 된 밥에 재 뿌리지 마라
,She apologized for having rained on my parade.,내 하루를 망쳐놓아서 그녀가 나에게 사과했다.
,"I hate to rain on your parade, but the cafe is closed on Sundays.","초 치고 싶지 않은데, 카페는 일요일에 닫아."
,"I don't mean to rain on your parade, but the concert is sold out.","찬물 끼얹고 싶지 않은데, 콘서트 매진이야."
,Sorry to rain on your parade but Sheila also solved the probblem and presented her solutions to the problem this morning.,"초 져서 미안하지만, 쉴라도 그 문제를 해결하고 오늘 아침에 그 문제에 대한 해결책을 제시했어요."
,Let's not rain on his parade just yet. Allow him to feel happy for a little while. We'll break the bad news to him tomorrow.,아직은 초 지지 말자. 아들이 조금이라도 행복을 좀 느끼게 냅두자. 나쁜 소식은 내일 전해주자.
,Covid rained on the whole world's parade and took away their happinness.,코로나가 온 세계를 다 망쳐놨어. 모든 행복을 다 가져갔어.
,Slow and steady wins the race,서두르면 일을 망친다.
,"Don't give up just because you can't produce results as quickly as the others. Remember, slow and steady wins the race.",남처럼 빨리 결과를 내놓지 못한다고 체념해서는 안 돼. 서두르면 망친다 란 말을 생각해.
,Slow and steady wins the race. is a dictum which emphasizes steadiness.,천천히 그리고 꾸준히 하면 경주에서 이긴다.라는 끈기를 강조하는 격언이다.
,Haste makes waste. Slow and steady wins the race.,급할수록 돌아가라.
,"You guys are moving fast, but there's no way you're actually comprehending anything. I'am taking my time and reading deliberately, and you know what they say, slow annd stead sinns the race.",두사람을 빨리 읽네요. 하지만 분명히 하나도 이해 못 했을 거예요. 난 시간을 들여서 세밀히 읽죠. 이런 말 있죠? 끈기 있는자가 승리한다
,"Nah, they get it. Slow and steady wins the race.","아뇨, 다 이해해요. 서두르면 일을 망쳐요."
,Absolutely. Slow and stead wins the race.,급하게 먹은 밥은 체하지.
,Chill out. Slow and steady wins the race.,진정해요. 급하게 먹은 밥은 체하기 마련이에요.
,Slow and steady won the race when it comes to learning any language.,언어를 배우는 것이라면 꾸준히 하는 자가 성공한다.
,It's a top secret. Try not to spill the beans.,이거 특급 비밀이야. 비밀을 발설하지마.
,I'm sorry and I didn't mean to spill the beans.,미안해 말하려고 한 건 아닌데.
,I am afraid that he might have spilled the beans.,그가 말했을 수도 있을 거 같아서 무서워.
,I accidentally spilled the beans when I told my friend we're throwinng a suprise party for Jane.,내 친구한테 제인을 위한 깜짝 파티를 한다고 나도 모르게 말해버렸지 뭐야.
,It's time for you to spill the beans about him.,이제 그에 대한 비밀을 말할 때야.
,"I cannot believe you spilled the beans about our party tomorrow, now I'll have to invite Nancy.​",우리 파티에 대해서 니가 떠들어댔다는게 믿어지지가 않아. 이제 낸시도 초대해야만 하잖아.
,"Mark and I got engaged last night but don't spill the beans to anyone, I want to tell mom and dad in person tomorrow night.​","마크랑 나는 어젯밤 약혼했지만 아무한테도 얘기하지마, 오늘밤에 엄마아빠한테 내가 직접 얘기할거야."
,"If I spill the beans, will you promise not to tell anyone else?","내가 비밀을 말하면, 아무한테도 말 안한다고 맹세해 줄 수 있지요?"
,who spilt the beans about it?,그걸 누가 누설했니?
,I spilled the beans on his affair to his family.,그가 바람 피우고 있다는 사실을 그의 가족에게 다 까발렸어.
,he is spilling the beans.,그는 자백 중이다.
,Are you coming for a drink? Can I take a rain check? I must get this finished tonight.,한 잔 하러 오시겠어요? 다음을 기약해도 될까요? 오늘 밤에 이 일을 끝마쳐야 해서요.
,"Thanks for the invite, but could I take a rain check?",초대해 줘서 고맙지만 다음으로 미루면 안 될까?
,"I'm sorry. I'm too busy today, I'll have to take a rain check.",미안해. 오늘은 너무 바빠. 다음에 하자
,I'll take a rain check on that.,다음 기회로 미뤄도 될까요?
,"I was planning to ask you in for a brandy, but if you want to take a rain check, that's fine.","브랜디 한 잔 부탁하려고 했는데, 다음 기회로 미루고 싶으면 괜찮아요."
,"I'm gonna have to take a rain check this time, I think",이번에는 다음 기회로 미뤄야 할 것 같아요.
,Oh sounds great but can I take a rain check? I have a lot on my plate.,"오, 좋아요. 하지만 다음 기회로 미뤄도 될까요? 저는 해야 할 일이 많아요."
, Mind if I take a rain check on that drink? I've got to work late tonight.,그 음료는 다음 기회로 미뤄도 될까요? 오늘 밤 늦게까지 일해야 해요.
,Don't believe everything he says. Take it with a grain of salt.,"그 말을 전부 믿지마. 가려 가며 들어,"
,"I am an export on this, so you should take it with a grain of salt.",난 전문가가 아니니까 감안하면서 들어.
,Take what she says with a grain of salt. She has quite an imagination.,그녀가 말하는 건 감안하면서 들어. 상상력이 아주 풍부해.
,"Since the advertisement for this product was too exaggerated, consumers should take it with a graind of salt.","이 제품을 소개하는 광고는 너무 과장 됐으니까, 소비자들은 약간 미심쩍은 마음으로 감안하면서 봐야 해."
,"He's known to exaggerated things to make himself look good. Whatever he tells you, just take it with a grain of salt.",그는 멋지게 보이려고 과장하는 걸로 아주 유명해. 그가 뭐라고 말하든 적당히 걸러서 들어.
,"I've seen the article, which I take with a grain of salt.","그 기사 봤는데, 대수롭지 않게 받아들였어."
,This is to be taken with a grain of salt.,이건 대충 걸러서 들어야 하는 거야.
,You have to take all of these things with a grain of salt.,이 모든 건 대충 걸러서 들어야 해요.
,"As far as I am concerned, the ball is in your court.","내 생각에는, 공은 니가 쥐고 있다."
,"Our presentation is over, so the ball is in their court.",우리의 발표는 끝났으니 다음은 그들 차례다.
,Everybody in this compay will support you if you decide to move to another company but the ball is in your court if you decide to change your mind at the last minute.,"당신이 다른 회사로 옮기기로 결정한다면 이 회사의 모든 사람들이 당신을 도울 거지만, 마지막에 마음을 바꿀지 말지는 결정하는 것은 당신의 몫입니다."
,"I've already told you that XY program is a super cool option to learn English, but now the ball is in your court.",XY 프로그램이 영어공부 하기에 꽤 괜찮은 방법이라고 내가 얘기해줬잖아. 선택을 네 몫이야.
,We sent the message and the ball is in your court.,"우리는 메세지 보냈으니까, 공은 너가 쥐고 있지."
,I have done it by half. Now the ball is in your court. Please finish it up.,"내가 반은 했으니 이제 네 차례야, 마무리 해줘."
,Everyone has rolled up the data and now got them integrated in the system. The ball is in your court to have a final review.,모두가 데이터를 작성하여 이제 시스템에 통합되었으니까 이제 네가 마지막 검토를 할 차례야.
,"As soon as I heard, I thought his idea was the best thing since sliced bread.",그의 아디어를 듣자마자 난 정말 기가 막히다고 생각했어.
,The best thing since sliced bread,기가 막히게 좋은
,"I've brought new touchscreen computer, it's the best thing since sliced bread, I can't believe I ever worked without it.","새 터치스크린 샀는데, 이거 기가 막히게 좋은 물건 이야. 이거 없이 일했다는 게 믿기지 않아."
,Have you tried this new coffee? I love it. It's the best thinng since sliced bread.,너 새로운 커피 마셔 봤어? 나 이거 정말 너무 좋아. 기가 막히게 맛있어.
,"My father doesn't like him very much, but my mother thinnk he's the best thing since sliced bread!",나는 아버지를 아주 좋아하진 않는다. 하지만 엄마는 아빠가 대단하다고 생각한다.
,"I'll be there before the sun is up. After all, the early bird gets the worm.",나는 해가 뜨기 전에 그곳에 도착할 것입니다. 결국 일찍 일어나는 새가 벌레를 잡는 거니까요.
,"With so many brothers competing for the car, I learned that the early bird gets the worm.","그 차를 차지하려고 다투는 많은 형제들 틈에서, 전 일찍 일어나는 새가 벌레를 잡는다는 사실을 배웠습니다."
,The early bird gets the worm.,일찍 일어나는 새가 벌레를 잡는다. 부지런해야 성공한다.
,Don't be late again! Don't you know that the early bird gets the worm?,두 번 다시 지각하지 마라. 일찍 일어나는 새가 벌레를 잡는다는 말도 모르는가?
,The early bird gets the worm.,일찍 일어나는 새가 벌레를 잡는다.
,It's the elephant in the room.,이건 골치 아픈 문제이다.
,What is the elephant in the room?,애써 .모른척하는 문제가 뭐에요?
,Racism in America is the elephant in the room.,미국에서 인종차별은 금기시되는 주제다.
,"We all sat sipping our tea quietly, no one wanting to bring up the elephant in the room about Joel's expulsion from college.","우린 조용히 앉아서 차를 마시고 있었고, 아무도 조엘의 대학 퇴학 문제를 꺼내는 것을 원하지 않았었다"
,The incident has remained something of an elephant in the room within our family.,그 사건은 우리가족에게 꺼려지는 일들로 남아 있었다
,"When I was little, my family always had lots of pets - dogs, cats, hamsters, fish, rabbits - the whole nine yards.","내가 어렸을 때, 우리 가족은 항상 개, 고양이, 햄스터, 물고기, 토끼 등 모든 애완동물을 다 키웠어."
,She really went the whole nin yards with decorating her room.,그녀는 그녀의 방을 꾸미는데 정말 가능한 모든 것을 동원했어.
,"My love, I'll go the whole nine yards for you.","내 사랑, 당신을 위해서 뭐든 할게."
,The whole nine yards.,모든 것.
,Don't cry over Jane. There are plenty more fish in the sea!,제인 때문에 울지 마. 세상에 널린게 여자야!
,Don't worry. There are other fish in the sea.,걱정하지마. 세상에 쌔고 쌘 게 남자야.
,It's not the end of the world. There are still plenty of other fish.,이게 끝이 아니야. 아직 기회는 얼마든지 있어.
,Don't have to hurry. There are plenty of other fish in the sea.,서두르지마. 기회는 얼마든지 있어.
,That was good for you annd forget about him. There are plenty of fish in the sea.,그를 잊는게 너에게 좋아. 세상에 기회는 얼마든지 있어.
,You don't have to upset by breaking up with her. There are plenty more fish in the sea.,여자 친구와 헤어졌다고 낙심할 필요 없어. 앞으로 다른 사람 만날 기회 많아.
,Please not be disappointed by losing the game in this competition. There are plenty more fish in the sea alonng the way.,이번 대회 이 경기에서 졌다고 낙담하지 마세요. 이후로 많은 기회가 있어요.
,please tell me there's method to your madness.,너의 그 이상한 행동에 어떤 사정이 있는지 얘기해줘.
,There's a method to his madness,그럴만한 이유.
,See if there's a method to his madness.,그 친구에게 그럴 만한 사정이 있었는지 알아봐 주겠어?
,"Clearly there's a method to Steve's madness, there always is.",분명히 스티브의 이상한 행동에는 이유가 있다. 그것도 항상.
,There's a method to my madness.,내 행동에는 이유가 있어.
,But there was a method to his madness.,하지만 그 만의 방식이 있다.
,There's no method to his madness.,그의 행동에는 이유가 없다.
,There may be a method to their madness.,아마도 그들의 행동에는 이유가 있을 거에요.
,There's no such thing as a free lunch.,공짜가 어딨어.
,"My friend said he's treat me to lunch, but I know him too well. There is not such thing as a free lunch with him.","내 친구가 점심을 사겠다고 했지만, 나는 걔를 너무 잘 알아. 걔 사전엔 공짜는 없지."
,"The government's new policy promises free healthcare to everyone, but we all know there's no such thing as a free lunch. Texpayers will foot the bill.",정부의 새 정책은 모두에게 무료 건강보험을 약속하지만 우리 모두 공짜는 없다는 걸 안다. 세금 납부자들은 그 비용을 치를 테니까.
,There's no such thing as a free lunch.,세상에 공짜가 어디 있나.
,"Milton Friedman used to say There's no such thing as a free lunch, which means there is nothing for free. ",밀턴 프리드만은 세상에 공짜는 없다는 말을 하곤 하였다.
,Of course! Just throw caution to the wind and go for it!,물론이지! 걱정일랑 집어 치우고 그렇게 계속 해!
,Throw caution to the wind.,큰마음 먹고 하다.
,But what happens when you throw caution to the wind? Let's listen.,한 번 큰 맘 먹고 하면 어떤 일이 일어날까요? 들어봅시다.​​
,We threw caution to the wind and bought the more expensive car.,우린 큰 맘 먹고 더 비싼 자동차를 샀어.
,I can't just throw caution to the wind and eat everything anymore.,이제 더이상 앞 뒤 재지 않고 다 먹어 치울 순 없어.
,She often throws caution to the wind and invests in tech companies.,그녀는 종종 과감하게 결정해서 기술 회사들에게 투자해요.
,She is not the type of person who throws cautions to the wind.,그녀는 앞뒤 가리지 않는 사람은 아니다.
,You can't have your cake and eat it too.,너 좋은대로만 다 흘러갈순 없다.
,I guess I want to have my cake and eat it too.,아마 난 두마리 토끼 다 잡고 싶어 하나봐.
,"You can't have your cake and eat it too. If you want more local services, you can't expect to pay less tax!","원래 두마리 토끼를 다 잡을 순 없는 거야. 만약 너가 더 많은 지역 서비스를 원한다면, 더 적은 세금을 낼 것이라고 기대할 수는 없는거지."
,You can't have your cake and eat it too.,두 마리 토끼를 다 잡을 순 없다.
,"Ji-hee, I hope you'll be able to have your cake and eat it.","우리 지희 씨, 앞으로도 두 마리 토끼를 다 잡을 수 있도록 응원하겠습니다."
,"Well, I guess you can't have your cake and eat it too.","뭐, 모든 것을 가질 순 없지."
,"I felt a bit embarrassed about what I said, and it goes to show that you can't judge a book by its cover.","나는 내가 말한 것에 대해 다소 당혹스러우며, 겉모습만 보고 판단하지 말라는 것을 증명한다."
,Don't Judge a Book by its Cover.,겉만 보고 속을 판단하지 마라.
,You can't judge a book by its cover.,겉보기로 판단해서는 안 된다.
,I will agree that you cannot judge a book by its cover.,나는 네가 겉모습으로 판단해서는 안된다는 것에 동의할 것입니다.
,Which just proves the old saying that you shouldn't judge a book by its cover.,이것만 봐도 사람을 겉만 보고 판단하지 말라라는 옛말이 틀리지 않았다는 사실을 알 수 있는 것 같다.
,"John thought he knew how to take care of the garden, but he killed all the flowers. A little knowledge is a dangerous thing.",존은 정원 손질에 대해 알고 있다고 생각했는데 꽃을 모두 망가뜨리고 말았다. 선 무당 사람 잡는다는 말과 같다.
,A little learning is a dangerous thing.,선 무당이 사람 잡는다.
,He read about the procedure online and thought he doesn't need the doctor to get it done. Now he will have to stay in the hospital far more than he might have in the first place. We can say that a little knowledge is indeed a dangerous thing.,그는 온라인에서 절차에 대해 읽었고 이를 완료하기 위해 의사가 필요하지 않다고 생각했습니다. 이제 그는 처음보다 훨씬 더 많이 병원에 머물러야 할 것입니다. 선 무당이 사람 잡는 격입니다.
,She cut her own fringes and ended up making her face look ridiculous. A little knowledge can be a dangerous thing when dealing with the intricate art of hair cutting.,그녀는 자신의 가장자리 머리카락을 자르고 결국 얼굴을 우스꽝스럽게 보이게 만들었습니다. 복잡한 머리 자르기 기술을 다룰 때 불완전한 지식은 곤혹스럽게 만드는 법이다. 
,All this publicity has had a snowball effect on the sales of their latest album.,이런 모든 평판 덕분에 그들의 최신 앨범 판매고가 눈덩이처럼 불어나고 있다.
,I didn't know it would have a snowball effect.,나는 이것이 눈덩이 효과처럼 불어날지 몰랐어요.
,"Oh, this situation really snowballed!","오, 일이 눈덩이처럼 불어나네!"
,"The situation is snowballing, soon it will be difficult to fix.","일이 점점 커지고 있어요, 조만간에 손댈수 없는 지경까지 갈거에요."
,Her credit card debts snowballed and now she can't financially recover.,"그녀의 카드값이 눈덩이처럼 불어났어, 이제 회복을 못할거야."
,You have a snowball's chance in hell of winning the lottery.,복권이 당첨되는 것은 하늘의 별 따기다.
,A snowball's chance in hell., 전혀 가망이 없는 희망.
,It's a snowball's chance in hell to wish you get married to her.,네가 그녀와 결혼한다는 것은 가망이 전혀 없는 희망이다.
,Let's be honest - there isn't a snowball's chance in hell that we'll win this game.,솔직히 이야기 해 보자. 우리가 이 게임에서 이길 가망성이 없잖아.
,He doesn't have a snowball's chance in hell of getting the job.,그가 직업을 다시 구할 가망이 없어.
,A stitch in time saves nine stitches.,제 때의 한 바늘은 뒤의 아홉 바늘의 수고를 덜어준다.
,A stitch in time saves nine.,문제를 즉각 처리하면 일이 훨씬 수월해진다.
,Everyone knows that a stitch in time saves nine.,모든 사람들은 문제를 즉각 처리하면 일이 훨씬 수월해진다는 것을 안다.
,"John said to his brother,  You better bring your car to the shop while it's still running, because a stitch in time saves nine.","존이 형에게 말했다, 차가 아직 움직일때, 정비소에 차 가져가 보는게 좋을 거야 왜냐면 지금의 수고가 나중에 더 큰 수고를 덜 수 있어. "
,The timely investigation could be prevented the major malfunction in computers. Someone truly said that a stitch in time saves nine.,적시에 조사하면 컴퓨터의 주요 오작동을 예방할 수 있습니다. 몇몇 사람들은 정말로 문제를 즉각 처리하면 일이 훨씬 수월해진다고 말했습니다.
,Resolve a small problem on time may prevent a big trouble it's like the old saying a stitch in time saves nine.,작은 문제를 제 시간에 해결하면 큰 문제를 예방할 수 있습니다. 한 바늘땀이 아홉 바늘을 절약한다는 옛말과 같습니다.
,"It seems that something wrong with my car, it's better to get its check-up as a stitch in time saves nine.",내 차에 문제가 있는 것 같습니다. 나중의 더 큰 수고를 덜기 위해 점검을 받는 것이 좋습니다.
,There is an old saying that a stitch in time saves nine and I think it's better to compromise earlier instead of dispute with your neighbour.,"제 때의 한 바늘이 아홉 바늘의 수고를 구한다는 옛말이 있는데, 이웃과 다투기보다는 일찍 타협하는 것이 낫다고 생각합니다."
,Prime Minister summed up the speech in the saying a stitch in time saves nine.,총리는 연설을 제 때의 문제를 즉각 처리하면 일이 훨씬 수월해진다고 요약했습니다.
,A storm in a teacup.,하찮은 집안 소동.
,I find the whole issue about these gender roles a storm in a teacup.,저는 이러한 성 역할에 대한 모든 문제가 쓸데 없는 소동이라고 생각합니다.
,All this argument because of deciding on who should do the dishes? What a storm in a teacup.,누가 설겆이를 해야 하는 것 때문에 이 모든 논쟁이 벌어졌다고? 쓸데 없는 소동이네.
,All these matters should be resolved with haste without yet having another storm in a teacup.,이 모든 문제들은 아직 쓸데 없는 논쟁으로 번지지 않았을 때 서둘러 해결되어야 합니다.
